my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
1,00601,16834,17526,44.0,3467,12295,1622,14170,348,71,14116,1358,16791,0,16791,10440,90900,401,3740,1601,127835,14336,3399,601
2,00602,37642,20260,45.2,6276,28321,3377,18479,555,1646,32451,936,37575,27,37510,17768,98300,459,9630,3147,209190,32821,6946,602
3,00603,49075,17703,45.0,10700,36307,3041,36216,1719,684,41811,2594,48355,45,48379,23551,129200,448,11258,8366,245880,42470,9139,603
4,00606,5590,19603,46.2,1291,4118,186,3721,9,38,4784,83,5590,0,5590,3021,104700,394,1463,485,30415,4848,1080,606
5,00610,25542,22796,44.4,5279,19085,2467,11182,576,749,22058,791,25446,0,25405,11597,104600,524,6392,2389,193285,22202,4781,610
6,00611,1315,22525,48.1,256,1019,81,765,14,57,1105,119,1315,0,1315,587,129700,432,276,247,18435,1105,222,611
7,00612,63312,22305,44.4,13006,46409,4974,23571,1775,182,53667,4034,62894,53,62890,27239,107800,474,14505,8781,419645,54253,11350,612
8,00616,9625,23652,46.7,2384,7396,775,3512,626,24,8406,592,9612,0,9612,4201,101100,580,2123,1027,75235,8513,1811,616
9,00617,22573,20328,42.6,5265,16397,1688,8496,754,103,19052,1295,22559,0,22559,10418,118800,581,6065,2169,160590,19397,4061,617
10,00622,7577,22818,50.2,1276,6112,865,3409,419,105,6771,411,7524,0,7524,3496,107900,565,2145,851,59865,6813,925,622
11,00623,39406,23132,45.4,6484,29115,2875,16400,1790,143,33838,2220,39304,0,39266,16224,117200,540,10916,3656,293410,34184,6742,623
12,00624,21648,20101,40.1,3914,15095,2166,16052,611,82,17698,807,21582,0,21550,11130,87900,492,5134,2210,160895,17921,3683,624
13,00627,32733,23263,44.5,5421,24290,4377,26687,542,210,28032,617,32623,0,32541,13563,103500,578,8773,2812,295605,28376,4947,627
14,00631,1431,15658,42.1,144,1100,142,1377,8,0,1216,76,1420,0,1420,846,98300,326,278,202,12145,1233,251,631
15,00636,1057,,29.7,212,577,62,603,0,0,822,0,1057,0,1057,800,67100,336,114,148,6225,855,188,636
16,00637,22882,20568,45.1,5127,16145,1618,14793,123,195,19344,773,22753,0,22740,10350,103100,454,5680,1585,151150,19576,4916,637
17,00638,17605,19796,45.6,3683,13117,1271,9019,594,126,14831,933,17596,18,17551,9664,93100,371,4262,1552,137530,15054,3382,638
18,00641,24299,17673,45.9,4340,17971,1932,11942,314,313,20715,2307,24267,21,24178,12959,99700,458,5308,3546,170420,20950,3615,641
19,00646,35926,31330,42.5,6403,25704,2399,16043,2257,906,30176,2051,35708,0,35857,11072,150100,664,9563,2443,382605,30541,6408,646
20,00647,4702,17143,46.4,1335,3191,341,2337,287,5,3651,398,4702,9,4702,3176,90100,336,1353,491,18280,3695,1000,647
21,00650,13767,20363,41.1,3212,9756,1020,6258,81,39,11634,1454,13740,0,13740,6827,100800,633,3619,1626,95305,11752,2317,650
22,00652,3924,26148,44.5,718,2947,312,1595,74,90,3423,170,3919,0,3919,1498,118600,678,1022,390,31675,3462,477,652
23,00653,8980,13777,44.7,2321,6567,753,5668,428,24,7733,962,8957,0,8825,5795,80400,329,2466,1161,35675,7970,2152,653
24,00656,18121,21456,44.9,3505,13307,2243,13909,343,37,15189,1150,18066,0,18041,9388,83600,413,4699,1730,114860,15561,3482,656
25,00659,37066,23899,44.7,6572,27842,4936,28807,1242,104,31924,853,36973,28,36955,14782,121200,541,9566,3495,314005,32382,5854,659
26,00660,15483,22556,48.9,3304,11905,938,3249,381,120,13591,991,15390,0,15389,6367,112800,531,4294,1790,119680,13726,2377,660
27,00662,40480,20283,44.3,8906,30227,3536,22574,3146,363,35040,897,40155,55,40078,19434,122500,512,8516,5551,284020,35445,7818,662
28,00664,14967,17966,41.9,3560,10589,643,8056,560,251,12228,880,14932,0,14932,8257,102900,444,2961,2095,80855,12538,2782,664
29,00667,23370,16889,47.4,4479,17674,2249,9936,610,299,20242,1668,23320,0,23320,13087,98800,520,5691,2568,147295,20481,5119,667
30,00669,27529,18838,44.5,4536,20357,2477,23993,621,166,23526,1054,27276,0,27229,15237,97300,483,6628,3369,243965,23812,4829,669
31,00670,8746,16644,44.0,2061,6194,609,4902,197,0,7321,200,8672,0,8672,4542,93200,299,1988,714,62240,7385,1632,670
32,00674,39385,20088,44.0,8547,28883,2574,16294,1040,519,33332,2390,39181,208,39181,18002,116300,534,10775,3916,281875,33833,7075,674
33,00676,36683,20160,42.2,7619,26407,2096,28106,1703,134,31070,2988,36547,0,36499,17143,100700,478,8193,4763,285245,31457,6455,676
34,00677,15304,26404,48.7,2667,11840,1803,6030,344,809,13252,342,15281,0,15263,6304,137200,572,4117,1624,110545,13432,2489,677
35,00678,25039,19558,44.4,5113,18679,2964,17356,893,259,21295,492,25023,0,24982,11494,103700,488,5916,3143,190910,21684,4463,678
36,00680,43173,16535,45.6,7305,30792,2270,7550,978,130,37348,3332,42613,0,42458,22589,97700,462,9774,7803,241865,37921,8233,680
37,00682,30414,17385,38.0,4647,19482,1219,4887,847,321,26203,2716,30291,0,30079,16264,116900,418,5992,6085,150885,26404,6581,682
38,00683,29547,18132,46.9,6826,21913,1854,18986,339,243,25274,543,29434,0,29136,14181,97200,466,7409,3495,190110,25645,5685,683
39,00685,40346,17481,45.7,7033,29680,3337,29322,1122,1157,34070,1968,40137,0,40156,21041,103200,440,10006,4306,266670,34434,6711,685
40,00687,28659,22282,41.5,6012,20557,2794,12506,1180,90,23964,1698,28629,0,28603,13586,114100,561,6970,2840,285585,24436,5115,687
41,00688,11478,17273,42.5,2535,8499,602,3097,168,60,10068,688,10988,0,10988,5987,96100,547,2504,1446,85070,10174,2483,688
42,00690,5781,23343,36.6,959,3910,233,4020,204,16,4837,177,5781,0,5781,2765,138000,782,1370,693,27460,4917,1060,690
43,00692,33302,25289,41.4,6401,23934,3055,11131,2244,147,28129,2875,33000,22,32983,13639,128800,631,8145,3823,333245,28449,5626,692
44,00693,55570,23791,43.9,11170,40596,4211,22455,2736,968,46938,3485,55358,92,55207,23966,116200,572,15366,5069,506275,47681,9519,693
45,00694,98,,73.7,37,98,0,0,0,0,98,0,98,0,98,27,,,52,0,,98,15,694
46,00698,33506,19818,45.6,8269,24887,2331,24755,915,157,28564,1540,33336,0,33336,14745,98300,495,9204,3060,181485,28900,6344,698
47,00703,24475,23045,44.1,5332,17526,1923,9973,1650,78,20753,524,24387,0,24363,10679,129700,432,5917,3076,245820,21051,4796,703
48,00704,6831,19845,31.7,1823,4441,366,2054,1352,0,5617,96,6792,0,6766,3521,91600,608,1900,543,58425,5635,1423,704
49,00705,24401,22679,45.7,6092,18225,1776,8641,2343,40,20898,540,24374,0,24374,10329,119000,519,6883,2026,172200,21082,4538,705
50,00707,10487,21765,46.0,2271,7976,1135,967,3840,38,9001,743,10480,13,10480,5255,101300,500,2782,1122,65160,9061,1882,707
51,00714,15797,18496,41.9,3237,11341,1308,8438,3091,54,13178,487,15774,0,15774,9102,95200,498,4821,1425,107365,13366,2968,714
52,00715,2040,16250,54.2,625,1468,35,801,176,0,1630,0,2040,0,2040,1367,79400,609,623,157,7685,1687,436,715
53,00716,27166,20184,46.7,5196,20164,1581,15241,1663,177,23293,1012,27025,18,27041,13196,121200,481,7500,4047,154750,23467,4622,716
54,00717,15029,14164,44.9,2984,10639,959,7953,908,80,12851,804,14977,0,14854,7800,110300,417,3324,3354,73640,13149,3008,717
55,00718,23289,20414,39.7,5743,16428,1855,7887,402,130,19298,756,23164,0,23216,11155,97700,511,5905,2233,206640,19631,4062,718
56,00719,29523,20533,42.4,4780,21486,2713,13615,2285,1,24910,1747,29421,0,29455,14400,100300,502,5837,2855,316995,25185,7294,719
57,00720,20816,16751,41.2,4404,14821,1694,9714,1034,112,17389,1256,20680,0,20680,11490,95300,469,4385,2129,184695,17574,4592,720
58,00723,15978,20967,47.2,3397,12088,1460,1048,5589,0,13721,646,15944,11,15964,7705,93700,486,4255,1967,122900,13933,2647,723
59,00725,77244,25786,44.8,13869,57037,6126,42866,6819,1198,66103,3730,76695,11,76652,31300,134300,546,19841,10977,751925,67056,13236,725
60,00727,53258,33678,42.8,8116,39164,4099,29152,4940,566,45538,1385,53071,104,52983,16325,144100,800,14246,5765,637165,46006,8962,727
61,00728,38590,21239,40.4,7937,27201,2358,23528,2520,132,32136,1032,36087,29,36106,17986,105900,489,10216,2853,260820,32650,8457,728
62,00729,47826,26978,41.9,8629,34785,4684,13980,6789,43,40049,3417,47706,16,47611,16792,115400,585,12288,4373,538045,40850,8359,729
63,00730,32267,17517,44.4,6311,23605,2481,15339,1479,159,27244,1842,32000,21,32017,16881,100900,502,8727,4223,206245,27548,6451,730
64,00731,10473,16944,47.9,2599,8076,733,5495,648,19,9093,243,10429,12,10429,5862,88800,501,3050,874,64575,9201,1903,731
65,00735,11164,23125,46.0,2805,8377,872,2969,637,122,9546,464,11150,21,11089,4613,104600,497,3114,1120,92135,9775,1820,735
66,00736,45867,27158,44.4,10433,34124,2872,17863,4117,30,39486,1055,45765,43,45799,17606,134500,572,11273,6434,410820,39952,8959,736
67,00738,30093,24643,44.2,6587,22085,2270,9206,2033,128,25537,2933,29970,0,29961,12441,114200,616,8312,3586,233375,25990,5305,738
68,00739,34678,24887,42.8,7746,25138,2379,13833,3990,80,29239,741,34486,78,34589,13847,132900,539,8254,4164,322090,29630,6448,739
69,00740,2034,18784,34.0,416,1338,65,680,88,0,1486,155,2034,0,2034,1188,96800,489,374,344,14410,1520,452,740
70,00741,3627,23821,47.1,951,2767,288,662,372,18,3082,128,3609,0,3609,1802,92800,649,1107,231,25055,3118,611,741
71,00745,47494,26189,43.8,9179,35044,4430,13081,5652,200,40740,3727,46956,24,46979,16929,131500,589,11809,4423,577625,41229,8512,745
72,00751,19570,20241,45.3,5402,14456,1176,5433,3577,34,16666,406,19521,13,19496,9706,87900,463,5803,1747,125160,16810,3744,751
73,00754,36576,19528,43.7,6700,27094,3224,4473,10298,4,31395,1062,36482,24,36493,16682,112300,565,9601,3763,338395,31696,7454,754
74,00757,20048,22764,40.6,5000,14132,1239,5680,3135,29,16866,682,19985,19,20037,9297,104400,502,5730,1452,161665,16969,4033,757
75,00765,8199,17062,45.3,2556,6017,560,1813,579,313,6912,314,8199,0,8199,4433,114500,441,1790,818,21040,6984,2092,765
76,00766,22053,22511,43.1,4912,15600,1802,8769,1889,63,18295,1084,21908,0,21927,9359,101600,487,6008,1800,189295,18625,4357,766
77,00767,30779,20126,45.7,5634,22827,2747,2463,11410,51,26320,1086,30728,0,30759,15124,94600,498,8400,3408,232075,26685,5721,767
78,00769,34374,20236,44.5,9886,25697,2326,10696,4506,104,29032,869,34274,0,34252,17218,99700,493,9775,2995,249955,29409,6501,769
79,00771,34964,23343,42.8,5966,25679,3012,3964,11396,12,29661,1250,34907,52,34907,13683,118500,478,9323,2827,325045,30073,5731,771
80,00772,17316,17209,42.8,4640,12446,1398,1595,6942,17,14489,1896,17316,0,17304,9029,98600,436,4066,2342,147170,14691,3509,772
81,00773,17716,22585,44.5,3887,13012,1501,4871,1292,71,15235,1630,17707,0,17681,8011,125300,485,4744,2056,154810,15334,3087,773
82,00775,1186,25483,44.6,322,812,94,342,31,43,1013,19,1186,0,1182,278,168500,458,275,172,6565,1025,234,775
83,00777,37726,26052,39.9,7449,26774,3607,12429,8274,79,31313,2205,37636,57,37666,14168,112500,573,9784,3631,397415,32027,6859,777
84,00778,40476,39484,41.2,5890,29369,3262,17069,4566,740,34125,2883,40169,45,40290,12880,160400,630,11430,3410,535650,34762,6370,778
85,00780,13908,26075,39.6,2390,9379,1109,5864,974,0,11298,615,13774,0,13857,5509,112500,848,4215,564,115635,11462,2560,780
86,00782,18639,16221,41.2,3726,13580,1322,9031,1523,25,15568,898,18617,0,18628,9934,109900,474,2910,2329,167360,15951,5043,782
87,00783,34205,21701,41.8,6733,24568,2795,15920,2283,57,28475,1821,34098,38,34039,15602,111600,564,8106,2630,358045,28909,6364,783
88,00784,35917,19199,40.6,8963,25806,2263,20459,3867,103,30261,690,33500,23,33500,16110,98400,411,10029,4210,231115,30840,8092,784
89,00786,154,,61.3,41,128,0,66,67,0,154,0,154,0,154,87,44400,,86,0,,154,26,786
90,00791,46537,26002,46.0,11810,34490,3676,10933,5685,207,39766,1169,46256,58,46238,16880,115700,500,12499,4242,363925,40385,8076,791
91,00794,28335,21278,39.4,5580,19902,2092,15074,2019,27,23414,1496,28189,0,28153,14013,118100,467,6072,2892,264895,23767,5295,794
92,00795,42900,22579,41.9,8565,30840,3605,10511,2552,81,36054,3125,42549,0,42506,19204,99600,537,10949,3658,304230,36438,7957,795
